segment,crf,psnr,ssim,vmaf,spatial_var,motion,entropy,resolution
sunbath_3840x2160_50fps_8bit_seg_000,38,27.277391,0.85809,44.318574,1812.9557420574704,49.238444790531936,6.4062586,2073600
sunbath_3840x2160_50fps_8bit_seg_001,18,40.027645,0.984684,99.89304,1858.6053926143607,49.51576662030553,6.416593,2073600
sunbath_3840x2160_50fps_8bit_seg_001,28,34.486777,0.963123,88.513273,1858.6053926143607,49.51576662030553,6.416593,2073600
sunbath_3840x2160_50fps_8bit_seg_001,38,27.185847,0.895536,58.08992,1858.6053926143607,49.51576662030553,6.416593,2073600
sunbath_3840x2160_50fps_8bit_seg_002,18,39.907071,0.982202,99.902631,1876.6992209116643,50.164510513117285,6.4466805,2073600
sunbath_3840x2160_50fps_8bit_seg_002,28,34.384567,0.952992,86.488228,1876.6992209116643,50.164510513117285,6.4466805,2073600
sunbath_3840x2160_50fps_8bit_seg_002,38,26.982435,0.857722,44.359364,1876.6992209116643,50.164510513117285,6.4466805,2073600
sunbath_3840x2160_50fps_8bit_seg_003,18,40.908543,0.985114,99.900522,1435.9067686227106,46.40191661560457,6.164853,2073600
sunbath_3840x2160_50fps_8bit_seg_003,28,35.467813,0.959341,87.41171,1435.9067686227106,46.40191661560457,6.164853,2073600
sunbath_3840x2160_50fps_8bit_seg_003,38,27.941389,0.868331,43.765069,1435.9067686227106,46.40191661560457,6.164853,2073600
sunbath_3840x2160_50fps_8bit_seg_004,18,40.828652,0.98473,99.913025,1475.0735377944302,46.08646082970226,6.197642,2073600
sunbath_3840x2160_50fps_8bit_seg_004,28,35.389909,0.958886,86.449692,1475.0735377944302,46.08646082970226,6.197642,2073600
sunbath_3840x2160_50fps_8bit_seg_004,38,27.852459,0.869304,42.909987,1475.0735377944302,46.08646082970226,6.197642,2073600
sunbath_3840x2160_50fps_8bit_seg_005,18,40.743467,0.984716,99.911862,1519.0746108395576,45.45499412785948,6.1927624,2073600
sunbath_3840x2160_50fps_8bit_seg_005,28,35.315889,0.95914,85.810178,1519.0746108395576,45.45499412785948,6.1927624,2073600
sunbath_3840x2160_50fps_8bit_seg_005,38,27.983058,0.8778,42.42507,1519.0746108395576,45.45499412785948,6.1927624,2073600
sunbath_3840x2160_50fps_8bit_seg_006,18,40.696999,0.984672,99.914696,1506.9648290959205,45.57423889115831,6.214503,2073600
sunbath_3840x2160_50fps_8bit_seg_006,28,35.263095,0.959351,84.750249,1506.9648290959205,45.57423889115831,6.214503,2073600
sunbath_3840x2160_50fps_8bit_seg_006,38,27.870081,0.878215,41.58849,1506.9648290959205,45.57423889115831,6.214503,2073600
sunbath_3840x2160_50fps_8bit_seg_007,18,40.732612,0.984924,99.912902,1510.9130502497715,45.19447908561573,6.193556,2073600
sunbath_3840x2160_50fps_8bit_seg_007,28,35.277809,0.959586,84.476161,1510.9130502497715,45.19447908561573,6.193556,2073600
sunbath_3840x2160_50fps_8bit_seg_007,38,28.032961,0.877427,41.866526,1510.9130502497715,45.19447908561573,6.193556,2073600
sunbath_3840x2160_50fps_8bit_seg_008,18,40.645026,0.98473,99.915,1524.5934050788758,48.31780980910883,6.1568017,2073600
sunbath_3840x2160_50fps_8bit_seg_008,28,35.19085,0.959339,86.13387,1524.5934050788758,48.31780980910883,6.1568017,2073600
sunbath_3840x2160_50fps_8bit_seg_008,38,27.832404,0.876811,44.717775,1524.5934050788758,48.31780980910883,6.1568017,2073600
sunbath_3840x2160_50fps_8bit_seg_009,18,40.585432,0.985116,99.903817,1612.2019830251932,47.22603498401675,6.1693654,2073600
sunbath_3840x2160_50fps_8bit_seg_009,28,35.16081,0.960125,84.5445,1612.2019830251932,47.22603498401675,6.1693654,2073600
sunbath_3840x2160_50fps_8bit_seg_009,38,27.79518,0.881041,42.822651,1612.2019830251932,47.22603498401675,6.1693654,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_000,18,41.508885,0.970128,98.008499,3730.8159490342523,6.4046822154787835,7.0191083,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_000,28,36.174316,0.930806,82.969183,3730.8159490342523,6.4046822154787835,7.0191083,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_000,38,31.162418,0.859321,57.871972,3730.8159490342523,6.4046822154787835,7.0191083,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_001,18,41.494589,0.970983,98.031339,3734.905639966973,6.537126334908963,7.036719,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_001,28,36.136974,0.932631,82.748975,3734.905639966973,6.537126334908963,7.036719,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_001,38,30.999935,0.859675,57.076779,3734.905639966973,6.537126334908963,7.036719,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_002,18,41.21656,0.968476,97.516398,3361.132908465499,6.814925258876698,6.9773707,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_002,28,35.890162,0.924157,80.222157,3361.132908465499,6.814925258876698,6.9773707,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_002,38,30.891753,0.842288,52.734191,3361.132908465499,6.814925258876698,6.9773707,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_003,18,40.461393,0.963935,96.19249,2686.9415357796565,6.447187346003216,6.880775,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_003,28,35.172087,0.910715,77.339221,2686.9415357796565,6.447187346003216,6.880775,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_003,38,30.510342,0.818755,49.853467,2686.9415357796565,6.447187346003216,6.880775,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_004,18,40.234125,0.961422,92.618055,1013.7243076674255,5.008504521021371,6.470746,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_004,28,34.987426,0.902924,69.892287,1013.7243076674255,5.008504521021371,6.470746,2073600
yachtride_1920x1080_120fps_420_8bit_yuv_seg_004,38,30.561126,0.804775,38.235066,1013.7243076674255,5.008504521021371,6.470746,2073600
