segment,crf,psnr,ssim,vmaf
SunBath_3840x2160_50fps_8bit_seg_008,18,40.645026,0.98473,99.915
SunBath_3840x2160_50fps_8bit_seg_008,28,35.19085,0.959339,86.13387
SunBath_3840x2160_50fps_8bit_seg_008,38,27.832404,0.876811,44.717775
SunBath_3840x2160_50fps_8bit_seg_009,18,40.585432,0.985116,99.903817
SunBath_3840x2160_50fps_8bit_seg_009,28,35.16081,0.960125,84.5445
SunBath_3840x2160_50fps_8bit_seg_009,38,27.79518,0.881041,42.822651
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_000,18,41.508885,0.970128,98.008499
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_000,28,36.174316,0.930806,82.969183
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_000,38,31.162418,0.859321,57.871972
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_001,18,41.494589,0.970983,98.031339
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_001,28,36.136974,0.932631,82.748975
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_001,38,30.999935,0.859675,57.076779
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_002,18,41.21656,0.968476,97.516398
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_002,28,35.890162,0.924157,80.222157
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_002,38,30.891753,0.842288,52.734191
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_003,18,40.461393,0.963935,96.19249
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_003,28,35.172087,0.910715,77.339221
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_003,38,30.510342,0.818755,49.853467
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_004,18,40.234125,0.961422,92.618055
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_004,28,34.987426,0.902924,69.892287
YachtRide_1920x1080_120fps_420_8bit_YUV_seg_004,38,30.561126,0.804775,38.235066
